"","id","acronym","sc39"
"179","290589","ITS-NANO","false"
"180","290591","PI","false"
"181","283501","FAST TRACK","false"
"182","283974","R2R-CIGS","false"
"183","288710","MERMAID","false"
"184","213543","VECOM","false"
"185","219682","ISLAS","false"
"186","219576","EXOENZ-BIOREG-AC-XOC","false"
"187","219819","GOODWIN2007IEFPHYS","false"
"188","220365","AFRICAN TRAVELLERS","false"
"189","220988","NZGEOBIOLOGY","false"
"190","221595","BRU","false"
"191","221808","DARK-GRB-SN","false"
"192","202674","EU-LIMITS","false"
"193","203298","EGATEC","false"
"194","205364","EVRAMUS","false"
"195","219293","DNA_PROGRAMMABLE_CNT","false"
"196","220583","CALTICA","false"
"197","221393","DEPRONIL","false"
"198","220035","CACOPHOS","false"
"199","201289","EOR OBSERVABILITY","false"
"200","209659","LOW-ENERGY ELECTRONS","false"
"201","211206","VLS1D","false"
"202","218967","AMPK","false"
"203","219735","BRESCANSUSGENES","false"
"204","223811","3-D MT IBERIA","false"
"205","224749","AUTOMOTIVE INDUSTRY","false"
"206","224758","PNAA","false"
"207","224771","HSPB8 AND NEUROPATHY","false"
"208","224772","STRCI","false"
"209","224777","AB INITIO","false"
"210","224806","GLENPHARM","false"
"211","224824","EBMI IN CHILDREN","false"
"212","224826","ARATERPS","false"
"213","224829","BIOTHERGROWTHPLATE","false"
"214","224839","BDD","false"
"215","224861","NRFDIABVASC","false"
"216","224888","EPETER","false"
"217","200194","F2F","false"
"218","224893","EA-BIOFILMS","false"
"219","224915","OSCSI","false"
"220","200269","RESEN","false"
"221","200274","RNC","false"
"222","251219","INTERACTIVE","false"
"223","251229","TEAM-EPIC","false"
"224","251339","UNITISS","false"
"225","251421","FUNSTEP","false"
"226","251428","MONA LISA","false"
"227","251430","BAC_SAFETY","false"
"228","251465","PARM","false"
"229","251497","LASERSAC","false"
"230","251501","DBEFORSMES","false"
"231","251505","SEPIA","false"
"232","251622","MEPS-MS","false"
"233","251636","ONCONANOBBB","false"
"234","251648","PSYCH-AID","false"
"235","251661","ENOXERS","false"
"236","251688","M3DPEMEA","false"
"237","251949","FHBBDD","false"
"238","252118","ARAMAIC ENOCH","false"
"239","252295","SFORIGFATE","false"
"240","252565","M.M.B.T.P.","false"
"241","252660","EPIGENOMICPLASTICITY","false"
"242","252722","E-MEDMACU","false"
"243","252814","GEMS","false"
"244","290488","COPE","true"
"245","290542","INNOSERV","true"
"246","290563","FIDUCIA","true"
"247","290683","LLLIGHT'IN'EUROPE","true"
"248","290694","TENLAW","true"
"249","290705","VERA","true"
"250","290770","POCARIM","true"
"251","290771","TEPSIE","true"
"252","290805","FREE","true"
"253","290454","TRANSWORLD","false"
"254","290492","IRISS","false"
"255","253068","MIGSIG","false"
"256","253812","LENS4DE","false"
"257","253842","COMSIE","false"
"258","254047","STRAINED-DIAMOND","false"
"259","284868","OSIRIS","false"
"260","254624","E-SWITCH","false"
"261","254740","BOXCDRNP","false"
"262","254899","CHROMATIN IN REPROG.","false"
"263","255159","PDF-EMERGED","false"
"264","255352","RADANT","false"
"265","255583","ERIOPA-H2C2","false"
"266","202596","PEOD","false"
"267","252249","CO-COMP","false"
"268","203239","NOMAD","false"
"269","254223","SEA TADPOLE","false"
"270","208528","SULIWA","false"
"271","910825","PROACTIVE","false"
"272","251250","SNAKES AT SEA","false"
"273","253352","AHPACS","false"
"274","227656","QORE","false"
"275","253813","RADAR","false"
"276","254688","RNDNET","false"
"277","230605","MLAE","false"
"278","247649","ETP-EABIOFILMS","false"
"279","244246","FF09","false"
"280","244772","E-NIGHT","false"
"281","244913","RN2009UDURTNS","false"
"282","244942","RN2009CZ","false"
"283","244959","RE-PARTY","false"
"284","244961","RNEST09","false"
"285","244975","STAR NIGHT","false"
"286","245000","EXTRADAY","false"
"287","245015","SER","false"
"288","245016","RESNI-CHAT","false"
"289","246724","FB","false"
"290","247756","UNSUNA","false"
"291","247814","HGF-INSR","false"
"292","247834","IOATMDNAPK","false"
"293","249483","EUROCORR","false"
"294","249166","MITE-OMICS","false"
"295","249170","FP2ONCO","false"
"296","249172","PAROLEDUC","false"
"297","249194","RESPPIS","false"
"298","249228","HICONTCELLSCREEN","false"
"299","249289","EXOTRAP","false"
"300","256375","NEUROG3","false"
"301","256394","ECOGUT","false"
"302","256406","METABOLIC LIGANDS","false"
"303","256407","TENSA","false"
"304","242598","CENTROSTEMCANCER","false"
"305","256442","MODEL HYDROGEN","false"
"306","256445","IDENTITYASARESOURCE","false"
"307","271758","BARENOL","false"
"308","256484","ATTENDEAT","false"
"309","256529","CA SENSING RECEPTOR","false"
"310","256576","DYNAMIC SELECTION","false"
"311","256588","ASAF","false"
"312","273769","FCPCIDNP","false"
"313","267454","ROCOCO","false"
"314","267854","MULTICOMB","false"
"315","267185","ACERT FELLOWSHIP","false"
"316","267856","LUCRETIUS","false"
"317","267862","MAGREPS","false"
"318","267199","NZZ POSTDOC","false"
"319","267864","ASTERISK","false"
"320","267867","PLASMAQUO","false"
"321","267877","SHRINE","false"
"322","267239","OLM","false"
"323","267907","VIDEOWORLD","false"
"324","273101","MOMENTA","false"
"325","268476","BIOSILICA","false"
"326","272022","INFCONGEO","false"
"327","272059","ARCHIMEDES","false"
"328","272112","STODIFFGAMES","false"
"329","272135","HUMESENT","false"
"330","273493","MUCHFUSS2GAIA","false"
"331","272285","MIAG","false"
"332","272295","GROWINGRODS","false"
"333","272322","CREDDERIV SYSRISK","false"
"334","272383","SEA VIEWS","false"
"335","268690","ACTINONSRF","false"
"336","272392","CLFR2010IAMBH","false"
"337","272408","SFC-ECAT","false"
"338","272531","DYCPBOM","false"
"339","272623","HETCAT","false"
"340","268928","LYVICAM","false"
"341","272709","FIT","false"
"342","272769","ANDERSONTRANSITIONS","false"
"343","272880","ANGULARNERNST","false"
"344","272897","GAFIMASIN","false"
"345","272929","MIRCOPUFA","false"
"346","272938","PERSUADE","false"
"347","272982","ASYMHYDRO","false"
"348","273074","PROBESENS","false"
"349","273077","RANSOM","false"
"350","273102","EGGS-2-EMBRYOS","false"
"351","273114","SIIMAG","false"
"352","269484","INTERACT","false"
"353","273276","TECH3D","false"
"354","273324","MULTITUDES","false"
"355","269874","DEVHEALTH","false"
"356","273443","GENEFOREST","false"
"357","258345","QRGRAPH","false"
"358","273630","FOLDNA","false"
"359","273640","MIDAS","false"
"360","273650","IMPACTSMART SANDWICH","false"
"361","273685","UPTOSOME","false"
"362","273686","DOCO","false"
"363","273791","IR-HYP","false"
"364","273798","DESDIOPROB","false"
"365","273906","COLCHICHEM","false"
"366","273933","MICROROCK","false"
"367","258782","GENEPHYSCHEM","false"
"368","273974","VMC CLUSTERS","false"
"369","273989","5HT","false"
"370","259205","FIELDGRADIENTS","false"
"371","274156","LICS MIX","false"
"372","274162","CRIMSEX18EU","false"
"373","274275","OUTSOURCING RISKS","false"
"374","259209","UNIC","false"
"375","274332","FISHMETABOLOME","false"
"376","274411","BRONZEAGE-TECH","false"
"377","274442","PINWOODQUAL","false"
"378","274483","HOCTHEC","false"
"379","274631","PERSIST","false"
"380","274659","HGAGN","false"
"381","274701","EU-MED INSIGHTS","false"
"382","274705","MICROMAG","false"
"383","274713","GEOLIT","false"
"384","274731","MHDWAVES","false"
"385","274791","GABABOW","false"
"386","274934","EMOTIONREGULATIONOCD","false"
"387","274945","AVILEV","false"
"388","275021","HYBRIDGESTURE","false"
"389","275062","EQUISORB","false"
"390","275122","QBANG","false"
"391","275420","POP-UPSCALE","false"
"392","275425","INTERNEURON NETWORK","false"
"393","275643","PERMEA","false"
"394","275657","SRUG99","false"
"395","275757","AB-STRUCT","false"
"396","275760","VIPRODIVA","false"
"397","275807","DEMOCRIS","false"
"398","263305","INFORMATIONFLOW","false"
"399","263308","HHIT","false"
"400","276030","CORINE NOORDHOFF","false"
"401","276086","STRUCTIKK","false"
"402","276119","INDURESTOM","false"
"403","276188","PIGS IN EU","false"
"404","276220","AMMF","false"
"405","276269","ACTINIMP2010","false"
"406","276445","DM3C","false"
"407","276448","SCALSOC","false"
"408","291222","ULTRAS","false"
"409","276578","DAPTO ANTICOMB","false"
"410","279520","RASPA","false"
"411","275799","SMGENV","false"
"412","279867","RFMIFICS","false"
"413","910120","GUMCHIP","false"
"414","910293","ENHANCE-MICHAL","false"
"415","279893","DLGAPS","false"
"416","910526","CAWRBP","false"
"417","279898","MONTES","false"
"418","272182","GFL - CCELC","false"
"419","279925","ISMAGIC","false"
"420","273875","QUANTUM CHANNELS","false"
"421","280168","E-MARS","false"
"422","275943","TREO","false"
"423","269043","COZERO","false"
"424","269174","BIOMED","false"
"425","284085","PASTPLACE","false"
"426","284094","REMNANTS","false"
"427","284108","FOREIGNCASUALSPEECH","false"
"428","284123","SCINAT","false"
"429","260088","HESMOS","false"
"430","260048","POPJIM","false"
"431","285385","ELIBAMA","false"
"432","284534","FI-CONTENT","false"
"433","285192","INFINITY","false"
"434","265690","RNEF2010","false"
"435","285026","FFD","false"
"436","266551","X RAY FEL","false"
"437","267466","MIWOOD","false"
"438","268136","STREAMS","false"
"439","233999","MONITOR","false"
"440","268240","REG","false"
"441","268241","NIDCGI","false"
"442","268295","BSMLHC","false"
"443","284529","2050AP","false"
"444","284551","CARGOMAP","false"
"445","284562","SARISTU","false"
"446","268320","APPLIEDHOLO","false"
"447","237884","NETWATCH OPERATIONAL PHASE","false"
"448","240700","SIE2","false"
"449","240743","RIC2009","false"
"450","241262","DOC-CAREERS II","false"
"451","243387","ERCSC-CHAIRS-SUP2009","false"
"452","249327","GISC","false"
"453","249708","EURAXESS MONTENEGRO","false"
"454","249711","BAMONET","false"
"455","250442","EUIMA","false"
"456","253677","SET-PLAN_SE2009.EU","false"
"457","256314","ERAWATCH INT","false"
"458","257078","KNOWINNO","false"
"459","262412","ECRI2010","false"
"460","262587","EUSPACE2010","false"
"461","267222","BE2010-CONFERENCESME","false"
"462","268116","WIRE2010","false"
"463","265972","WATERBIOTECH","false"
"464","266002","INSARD","false"
"465","266080","SUNRAY","false"
"466","234474","ERA-PRISM","false"
"467","234501","CIA4OPM","false"
"468","234522","TARGET","false"
"469","234542","KVOUCHER","false"
"470","234608","GLOVAL","false"
"471","234629","I-SEEMOB","false"
"472","234705","EUKTS","false"
"473","207643","ADDRESS","false"
"474","209481","ZEOCELL","false"
"475","210092","NANOHY","false"
"476","211407","PEGASE","false"
"477","211517","UNIQUE","false"
"478","211640","IBPOWER","false"
"479","211821","HETSI","false"
"480","211859","PLANETS","false"
"481","211940","METSOFC","false"
"482","268465","EUSOL","false"
"483","211971","DECARBIT","false"
"484","271531","CONTROL BACTERIA","false"
"485","272157","FLLWVI","false"
"486","276695","ARROS","false"
"487","276784","MITOCAB","false"
"488","276800","CLUSMATE","false"
"489","218868","ECCO","false"
"490","218890","OPTFUEL","false"
"491","218895","GROUND-MED","false"
"492","218903","IRENE-40","false"
"493","218916","ENERCOM","false"
"494","218923","BIODME","false"
"495","218935","COMETH","false"
"496","218938","MEDIRAS","false"
"497","218952","ALONE","false"
"498","218960","SUSPLAN","false"
"499","276882","TOF-SR","false"
"500","276886","RSV BUDDING","false"
"501","276895","SECED","false"
"502","276896","COGPLEXITY","false"
"503","276899","PHAMOOS","false"
"504","276901","INSULIN_AGE","false"
"505","276911","EHCB","false"
"506","227303","BIOLIQUIDS-CHP","false"
"507","239201","LED","false"
"508","239204","BIOLYFE","false"
"509","239285","SOLUTION","false"
"510","239288","PIME'S","false"
"511","239304","WINGY-PRO","false"
"512","239341","FIBREETOH","false"
"513","239349","H2-IGCC","false"
"514","239357","EMPYRO","false"
"515","239368","WAVEPORT","false"
"516","249710","ENEXAL","false"
"517","249736","THINK","false"
"518","249745","NEXTGENPOWER","false"
"519","249782","PEPPER","false"
"520","249791","PV-GUM","false"
"521","249800","SUNSTORE 4","false"
"522","249801","LASTBEG","false"
"523","249804","GAS BIOREF","false"
"524","249807","EE-QUARRY","false"
"525","249809","MACPLUS","false"
"526","249812","TWENTIES","false"
"527","277003","ARC2P","false"
"528","277010","CSC","false"
"529","268112","DEMOCLOCK","false"
"530","268165","HETMOC","false"
"531","268171","TOP WIND","false"
"532","268181","ARCHETYPE SW550","false"
"533","268189","EU-ULTRALOWDUST","false"
"534","241382","ATEST","true"
"535","268191","RELCOM","false"
"536","268194","GHG2E","false"
"537","268199","ECOGRID EU","false"
"538","268205","SECRHC-PLATFORM","false"
"539","268206","GRID4EU","false"
"540","268211","BIOFAT","false"
"541","268217","BIOMAXEFF","false"
"542","268219","MATS","false"
"543","277063","QUANTUM CHALCOPYRITE","false"
"544","277081","PEPTISTEM","false"
"545","277136","LMILDNET","false"
"546","227541","MAHEATT","false"
"547","201724","MIDTAL","false"
"548","202798","MICORE","false"
"549","202955","EUROSITES","false"
"550","211250","ESCAPE","false"
"551","211288","CASPINFO","false"
"552","211307","DEVCOCAST","false"
"553","211345","BRIDGE","false"
"554","211384","EPOCA","false"
"555","211386","ISOIL","false"
"556","211392","LIVEDIVERSE","false"
"557","211393","MIAVITA","false"
"558","211488","HITEA","false"
"559","211523","DIGISOIL","false"
"560","277154","HETNET","false"
"561","277163","DREAMS","false"
"562","277177","SEROANGE","false"
"563","211534","AQUAFIT4USE","false"
"564","211578","E-SOTER","false"
"565","292259","GLORI","false"
"566","293503","COPE","false"
"567","212535","CCTAME","false"
"568","212545","AEGOS","false"
"569","212631","PALMS","false"
"570","212663","SOILCAM","false"
"571","212668","CADASTER","false"
"572","212774","CLIMATECOST","false"
"573","212781","ISOSOIL","false"
"574","212782","W2PLASTICS","false"
"575","212790","HYDRONET","false"
"576","212844","DEER","false"
"577","212854","HEREPLUS","false"
"578","212885","REEF","false"
"579","212887","ACOBAR","false"
"580","212921","CEOP-AEGIS","false"
"581","212939","SMOOHS","false"
"582","212998","PERFECTION","false"
"583","293658","IMAGINA","false"
"584","293764","MARINEMICROCROSSTALK","false"
"585","226487","EUROGEOSS","true"
"586","226494","GEO FAIR TRADE","true"
"587","226517","E-URAL","true"
"588","226520","COMBINE","true"
"589","293800","FETAL THYROXINE","false"
"590","293849","OPE²RA","false"
"591","293865","ELD","false"
"592","226956","UPSOIL","true"
"593","226967","SHARE","true"
"594","293956","IIEM","false"
"595","293968","WNTLINCS","false"
"596","293980","NEUROMIGRATION","false"
"597","294027","FESREG","false"
"598","294032","AUTOPHAGY AND BONE","false"
"599","294033","DTIIMA","false"
"600","294048","PLANTNPC","false"
"601","244096","FORESTTRAC","true"
"602","244099","DS³F","true"
"603","244100","EO2HEAVEN","true"
"604","244102","SMARTEST","true"
"605","244103","CORPUS","true"
"606","244132","CLAMER","true"
"607","294144","COGNITSIMS","false"
"608","294155","TLIAV","false"
"609","294217","EMOCOG","false"
"610","294232","MUSC ADAP XRCS","false"
"611","294243","NUCBURPOLITICS","false"
"612","244255","WASSERMED","true"
"613","244273","ODEMM","true"
"614","264465","ECOFINDERS","true"
"615","264879","CARBOCHANGE","true"
"616","290605","PSI-FELLOW","false"
"617","291722","IFP TRANSCURE","false"
"618","291734","ISTFELLOW","false"
"619","291761","SCHROEDINGER FELLOWS","false"
"620","291762","CO-CIRCULATION","false"
"621","291763","RISKINGCREATIVITY","false"
"622","291772","EIPOD2","false"
"623","291776","GO-IN","false"
"624","291778","DTI-IMPORT","false"
"625","291780","ANDALUCIA TALENT HUB","false"
"626","291782","SOMOPRO II","false"
"627","291783","COFUND-CERN-2011","false"
"628","291784","ZIF-MARIE-CURIE","false"
"629","291787","ICIQ-IPMP","false"
"630","291794","RSE IRAS2","false"
"631","291796","INNOENERGY PATHWAYS","false"
"632","291803","AMAROUT-II","false"
"633","291820","MVISION","false"
"634","285844","CARESHOES","false"
"635","265182","PROMITHEAS-4","true"
"636","265189","C2CA","true"
"637","294282","HIRESDAT","false"
"638","286389","CAFIPOSEN","false"
"639","291834","SARCOSI","false"
"640","294905","THERMAPOWER","false"
"641","294931","CASES","false"
"642","294933","DISKNET","false"
"643","265308","STEP-WISE","true"
"644","265309","STREAM","true"
"645","265310","CRISP","true"
"646","265325","PURGE","true"
"647","265327","BAT4MED","true"
"648","265346","PHARMAS","true"
"649","282656","REFORM","true"
"650","294935","KEPAMOD","false"
"651","294955","DOSECOPS","false"
"652","294959","IFA","false"
"653","294976","GEO","false"
"654","294987","ESE","false"
"655","295036","CTMEE","false"
"656","295045","PUMAH","false"
"657","295220","QOSTREAM","false"
"658","295114","UKNA","false"
"659","295126","PAS","false"
"660","295136","CLIMATE-FIT FORESTS","false"
"661","295138","INTERFLAME","false"
"662","295146","REDHOTGEN 2","false"
"663","295151","LIVCODE","false"
"664","295153","ELITES","false"
"665","295157","PANAMA","false"
"666","295162","ENVICOP","false"
"667","295164","EUMLS","false"
"668","295176","CARBALA","false"
"669","282910","ECLAIRE","true"
"670","282911","SAPH PANI","true"
"671","295181","INTERBONE","false"
"672","282915","GEOWOW","true"
"673","295187","POLATER","false"
"674","282957","DENAMIC","true"
"675","295192","TRIP","false"
"676","295194","EATS","false"
"677","295197","EULA-NETCERMAT","false"
"678","295202","OIL&SUGAR","false"
"679","295203","NL_SOCIAL","false"
"680","295208","CARBONNASA","false"
"681","295211","MIGMEDCIS","false"
"682","295214","ESAHIVCOINFRES","false"
"683","295223","MEAT","false"
"684","295224","BIOAPPRONFS WETT","false"
"685","295225","HYDRODRIL","false"
"686","295231","LORELEI","false"
"687","295232","TRANSFOR","false"
"688","295234","QICFT","false"
"689","295243","SOFTACTIVE","false"
"690","295254","FUNCTIONAL","false"
"691","295261","MEALS","false"
"692","295263","MIDAS","false"
"693","295264","COSMA","false"
"694","295269","MSAFE","false"
"695","295271","TRANSBASIN","false"
"696","295280","WATEREUS-MED","false"
"697","295300","MUAC-IREN","false"
"698","295303","SUN ON CLEAN","false"
"699","287382","PIMMS","false"
"700","283024","BRAINPOOL","true"
"701","283025","COROADO","true"
"702","283068","CASCADE","true"
"703","283080","GEOCARBON","true"
"704","283093","ROBIN","true"
"705","283121","APRAISE","true"
"706","283157","LAGOONS","true"
"707","283158","AFRICAN CLIMATE","true"
"708","283163","ECOADAPT","true"
"709","283177","CATALYST","true"
"710","289837","INNHF","false"
"711","226347","MONACAT","false"
"712","219169","ENT II","false"
"713","219177","NETWATCH","false"
"714","219235","EMIDA","false"
"715","219262","ARIMNET","false"
"716","219301","NET - HERITAGE","false"
"717","219337","ERA-ENVHEALTH","false"
"718","219340","ÆRTOS","false"
"719","219343","SMARTGRIDS ERA-NET","false"
"720","219395","ERACOBUILD","false"
"721","219433","NANOSCI-EPLUS","false"
"722","219438","ERNEST","false"
"723","219453","EUROCOURSE","false"
"724","234854","NORDERA","false"
"725","234989","MNT-ERA.NET II","false"
"726","266543","CAPITA","false"
"727","291728","ERASYNBIO","false"
"728","290353","METASLEEP","false"
"729","291766","SUSFOOD","false"
"730","291814","ERA-IB-2","false"
"731","266546","BIODIVERSA2","true"
"732","287443","NIGHTBRAINGAME","false"
"733","249677","HELIMNET","false"
"734","226029","OMALANP","false"
"735","227745","HETFLUXPHENO","false"
"736","229568","MIPPOD","false"
"737","230914","MPMM","false"
"738","269883","ECNET","false"
"739","230998","MANTLE-GEODYNAMO","false"
"740","231017","ECOSEX","false"
"741","231092","BIOSUOC","false"
"742","231110","DYNESTUA","false"
"743","222881","SURE","false"
"744","222965","NATT","false"
"745","223064","ESI-TBVI","false"
"746","223277","DISMEVAL","false"
"747","223290","CEDAR","false"
"748","223293","EURO-GENE-SCAN","false"
"749","223477","ABC","false"
"750","223483","ANCIEN","false"
